columns,datanull,datatype,datavalue,num
Id,0,int64,1,0
MSSubClass,0,int64,60,1
MSZoning,4,object,RL,2
LotFrontage,486,float64,65.0,3
LotArea,0,int64,8450,4
Street,0,object,Pave,5
Alley,2721,object,,6
LotShape,0,object,Reg,7
LandContour,0,object,Lvl,8
Utilities,2,object,AllPub,9
LotConfig,0,object,Inside,10
LandSlope,0,object,Gtl,11
Neighborhood,0,object,CollgCr,12
Condition1,0,object,Norm,13
Condition2,0,object,Norm,14
BldgType,0,object,1Fam,15
HouseStyle,0,object,2Story,16
OverallQual,0,int64,7,17
OverallCond,0,int64,5,18
YearBuilt,0,int64,2003,19
YearRemodAdd,0,int64,2003,20
RoofStyle,0,object,Gable,21
RoofMatl,0,object,CompShg,22
Exterior1st,1,object,VinylSd,23
Exterior2nd,1,object,VinylSd,24
MasVnrType,24,object,BrkFace,25
MasVnrArea,23,float64,196.0,26
ExterQual,0,object,Gd,27
ExterCond,0,object,TA,28
Foundation,0,object,PConc,29
BsmtQual,81,object,Gd,30
BsmtCond,82,object,TA,31
BsmtExposure,82,object,No,32
BsmtFinType1,79,object,GLQ,33
BsmtFinSF1,1,int64,706,34
BsmtFinType2,80,object,Unf,35
BsmtFinSF2,1,int64,0,36
BsmtUnfSF,1,int64,150,37
TotalBsmtSF,1,int64,856,38
Heating,0,object,GasA,39
HeatingQC,0,object,Ex,40
CentralAir,0,object,Y,41
Electrical,1,object,SBrkr,42
1stFlrSF,0,int64,856,43
2ndFlrSF,0,int64,854,44
LowQualFinSF,0,int64,0,45
GrLivArea,0,int64,1710,46
BsmtFullBath,2,int64,1,47
BsmtHalfBath,2,int64,0,48
FullBath,0,int64,2,49
HalfBath,0,int64,1,50
BedroomAbvGr,0,int64,3,51
KitchenAbvGr,0,int64,1,52
KitchenQual,1,object,Gd,53
TotRmsAbvGrd,0,int64,8,54
Functional,2,object,Typ,55
Fireplaces,0,int64,0,56
FireplaceQu,1420,object,,57
GarageType,157,object,Attchd,58
GarageYrBlt,159,float64,2003.0,59
GarageFinish,159,object,RFn,60
GarageCars,1,int64,2,61
GarageArea,1,int64,548,62
GarageQual,159,object,TA,63
GarageCond,159,object,TA,64
PavedDrive,0,object,Y,65
WoodDeckSF,0,int64,0,66
OpenPorchSF,0,int64,61,67
EnclosedPorch,0,int64,0,68
3SsnPorch,0,int64,0,69
ScreenPorch,0,int64,0,70
PoolArea,0,int64,0,71
PoolQC,2909,object,,72
Fence,2348,object,,73
MiscFeature,2814,object,,74
MiscVal,0,int64,0,75
MoSold,0,int64,2,76
YrSold,0,int64,2008,77
SaleType,1,object,WD,78
SaleCondition,0,object,Normal,79
SalePrice,1459,int64,208500,80
